"","License.Issue.Date","License.Number","Animal.s.Name","Species","Primary.Breed","Secondary.Breed","ZIP.Code","Year","Avg.AGI","SES"
"1",2019-02-13,"962273","Veronica","Cat","Domestic Longhair","","98107",2019,77.42486188,"Medium"
"2",2019-08-10,"S133113","Spider","Cat","LaPerm","","98115",2019,100.7467087,"High"
"3",2019-11-21,"8002549","Maxx","Cat","American Shorthair","","98125",2019,64.3982,"Medium"
"4",2020-01-12,"S151906","Sammy","Cat","Domestic Shorthair","Mix","98116",2020,98.37759883,"Medium"
"5",2020-05-19,"8015649","Bradley","Cat","Siamese","","98101",2020,136.1487959,"High"
"6",2020-05-24,"S142869","Mickey","Cat","Domestic Longhair","","98126",2020,70.93753425,"Medium"
"7",2020-07-03,"S112835","Diamond","Cat","Domestic Shorthair","Mix","98103",2020,85.42767318,"Medium"
"8",2020-07-16,"83454","Dali","Cat","Domestic Shorthair","","98119",2020,111.5524498,"High"
"9",2020-07-21,"S131986","Nacho","Cat","Domestic Shorthair","Mix","98126",2020,70.93753425,"Medium"
"10",2020-08-18,"8019541","Gracie","Cat","Domestic Medium Hair","Mix","98133",2020,55.06720631,"Medium"
"11",2020-09-08,"S141990","Ramon","Cat","Domestic Shorthair","Mix","98116",2020,98.37759883,"Medium"
"12",2020-09-17,"8015827","Luna","Cat","Ragdoll","","98112",2020,202.574526,"High"
"13",2020-11-03,"S112996","Pixel","Cat","Domestic Medium Hair","Mix","98112",2020,202.574526,"High"
"14",2020-11-17,"S146576","C.C.","Cat","Domestic Shorthair","Mix","98117",2020,93.9535877,"Medium"
"15",2020-11-20,"77412","Gemma","Cat","Siamese","American Shorthair","98126",2020,70.93753425,"Medium"
"16",2020-11-24,"896993","Oliver","Cat","Domestic Longhair","Mix","98199",2020,130.7781505,"High"
"17",2020-12-15,"832271","Silky Frances","Cat","Domestic Shorthair","","98115",2020,100.7467087,"High"
"18",2020-12-20,"S114008","Jesse","Cat","Domestic Shorthair","Mix","98103",2020,85.42767318,"Medium"
